CdsCod,AdCod,n°iscritti,n°passati,Tasso_superamento,voto_medio
F9201P,F9201P028,45,30,0.67,30
E1601N,E1601N043,116,79,0.68,23.63
E1802M,E1802M031,422,286,0.68,23.95
E2001R,E2001R051,77,52,0.68,24.12
E1803M,E1803M046,339,229,0.68,24.75
E3401Q,E3401Q053,31,21,0.68,25.43
E4102B,E4102B064,57,39,0.68,25.51
E0201Q,E0201Q073,37,25,0.68,26.12
E2001R,E2001R039,56,38,0.68,26.39
I0302D,I0302D019,34,23,0.68,26.65
G8501R,G8501R041,404,275,0.68,26.69
E2401P,E2004P013,87,59,0.68,26.83
E1301Q,E1301Q060,44,30,0.68,27.2
G8501R,G8501R024,224,153,0.68,27.42
F5101P,F5101P137,185,126,0.68,27.6
F8501R,F8501R010,65,44,0.68,27.89
F1601M,F1601M058,81,55,0.68,27.91
F8501R,F8501R009,196,133,0.68,27.95
581,A5810049,38,26,0.68,28.35
581,A5810062,96,65,0.68,28.58
F0101R,F0101R012,72,49,0.68,29.18
E3101Q,E3101Q117,31,21,0.68,29.67
I0101D,I0101D025,316,218,0.69,23.36
E3401Q,E1301Q062,39,27,0.69,23.85
I0302D,I0302D007,35,24,0.69,24.08
E1501N,E1501N007,204,141,0.69,24.3
E1801M,E1801M051,276,190,0.69,24.41
E1801M,E1801M004,400,275,0.69,24.73
E1501N,E1501N053,161,111,0.69,25.03
E1802M,E1802M116,303,210,0.69,25.31
E2401P,E2401P004,558,387,0.69,25.52
E4102B,E4102B080,48,33,0.69,25.55
I0101D,I0101D018,296,203,0.69,25.75
E3001Q,E3001Q033,119,82,0.69,25.83
F5104P,F5104P002,287,197,0.69,25.89
E4001N,E4001N055,125,86,0.69,25.9
E1802M,E1802M006,248,170,0.69,26.32
G8501R,G8501R001,321,222,0.69,26.45
F1601M,F1601M084,75,52,0.69,26.5
E3001Q,E3001Q037,257,177,0.69,26.69
F7401Q,F7401Q005,35,24,0.69,27.29
E4001N,E4001N069,54,37,0.69,27.43
E3001Q,E3001Q068,52,36,0.69,27.81
F0901D,F0901D025,39,27,0.69,28.67
F5102P,F5102P022,42,29,0.69,29.03
F5602M,F5602M008,36,25,0.69,29.08
F0802Q,F0802Q054,71,49,0.69,29.43
E1801M,E1801M018,285,199,0.7,
E1803M,E1803M017,176,123,0.7,
F7601M,F7601M076,50,35,0.7,
E1501N,E1501N076,137,96,0.7,22.61
E3401Q,E3401Q040,106,74,0.7,23.51
E1401A,E1401A009,96,67,0.7,23.97
I0202D,I0202D118,33,23,0.7,24.52
K0101D,K0101D002,40,28,0.7,24.61
I0101D,I0101D017,270,189,0.7,24.71
E1801M,E1801M046,205,144,0.7,24.84
E1901R,E1901R010,423,295,0.7,25.21
E1901R,E1901R107,527,369,0.7,26.07
F7601M,F7601M007,53,37,0.7,26.22
E1301Q,E1301Q064,90,63,0.7,26.25
E2401P,E2401P002,532,375,0.7,26.31
E1901R,E1901R021,194,135,0.7,26.47
F4901N,F4901N071,46,32,0.7,26.47
F5103P,F5103P003,109,76,0.7,26.61
E2701Q,E2701Q041,50,35,0.7,26.77
E1901R,E1901R009,244,172,0.7,26.8
581,A5810128,284,200,0.7,26.81
581,A5810010,291,203,0.7,27.33
H4101D,H4101D006,192,134,0.7,27.54
F5602M,F5602M003,38,27,0.71,24.7
E4001N,E4001N051,197,140,0.71,25.04
E1301Q,E1301Q057,104,74,0.71,25.23
E4001N,E4001N044,341,242,0.71,25.24
F8204B,F8204B004,69,49,0.71,25.82
E1901R,E1901R014,568,405,0.71,26.11
E4101B,E4101B037,62,44,0.71,26.23
