ad,media
[E3401Q039] PRINCIPI DI GEOLOGIA,13.142857142857142
[E2401P103] PSICOPATOLOGIA GENERALE,13
[E2001R010] ORGANIZZAZIONE AZIENDALE,13
[E0201Q005] CHIMICA ORGANICA,13
[E1401A074] ELEMENTI DI DIRITTO ROMANO PUBBLICO E PRIVATO,12.9
[E3401Q013] MINERALOGIA,12.875
[H4101D002] ANATOMIA E ISTOLOGIA UMANA,12.833333333333334
[E4101B008] STATISTICA ECONOMICA I,12.833333333333334
[E3301M180] LINGUA - INGLESE,12.833333333333334
[E1501N005] SOCIOLOGIA GENERALE,12.8
[E2001R006] ESTETICA,12.666666666666666
[H4101D252] SCIENZE PROPEDEUTICHE,12.6
[E4101B017] ECONOMETRIA,12.6
[E3101Q123] SICUREZZA ED AFFIDABILITA',12.5
[E2001R051] LINGUA ARABA I,12.5
[H4601D016] SCIENZE MEDICHE AFFINI,12.25
[G8501R019] TECNOLOGIE PER LA DIDATTICA,12.2
[F5104P004] PSICODIAGNOSTICA CLINICA,12.2
[I0301D001] SCIENZE PROPEDEUTICHE,12
[H4101D022] ANATOMIA PATOLOGICA,12
[F7701M105] L'ATTIVITA' DEI CONTROLLI LEGALI,12
[F5701R003] TECNOLOGIE DELLA FORMAZIONE,12
[F5101P137] NORMALITA' E PATOLOGIA NELLE RELAZIONI FAMILIARI,12
[E3401Q055] GEOLOGIA STRUTTURALE,12
[E3301M218] ABILITÀ INFORMATICHE,12
[E2401P005] BIOLOGIA E GENETICA,12
[E1803M081] FINANZA AZIENDALE,12
[E1803M051] MATEMATICA PER LA FINANZA,12
[E1801M041] ISTITUZIONI E STORIA DELL'ECONOMIA,12
[E2401P100] ELEMENTI DI PSICOMETRIA CON LABORATORIO DI SPSS 1,11.857142857142858
[F7701M077] DIRITTO PENALE DELL'ECONOMIA,11.75
[E2701Q034] CHIMICA GENERALE E INORGANICA CON LABORATORIO,11.714285714285714
[F5102P003] METODOLOGIE QUALITATIVE,11.666666666666666
[E2004P002] FILOSOFIA DEL LINGUAGGIO,11.666666666666666
[E2001R007] ANTROPOLOGIA CULTURALE,11.666666666666666
[E1801M047] MATEMATICA GENERALE,11.666666666666666
"[E1501N054] MUSICA, SPETTACOLO E TERRITORIO",11.666666666666666
[E0201Q065] BIOCHIMICA SISTEMATICA UMANA,11.625
[F5102P006] METODOLOGIE QUANTITATIVE,11.5
[F1601M055] STRATEGIE DI INVESTIMENTO,11.5
[E3401Q043] SEDIMENTOLOGIA,11.5
[E3301M193] MACROECONOMIA E POLITICHE ECONOMICHE,11.5
[E1802M031] ECONOMIA AZIENDALE,11.5
[I0302D001] SCIENZE PROPEDEUTICHE,11.4
[E4001N051] ANTROPOLOGIA,11.4
[E3002Q033] OTTICA GEOMETRICA E OFTALMICA CON LABORATORIO,11.375
[F9201P200] COMUNICAZIONE DIGITALE,11.333333333333334
[E2004P006] STATISTICA PER LA RICERCA SOCIALE,11.333333333333334
[E1802M123] TECNICA PROFESSIONALE,11.333333333333334
"[E2401P015] MOTIVAZIONE, EMOZIONE E PERSONALITÀ",11.25
[E2001R005] SOCIOLOGIA DELLA COMUNICAZIONE,11.2
[E1802M006] ECONOMIA POLITICA,11.142857142857142
[A5810130] DIRITTO DELL'UNIONE EUROPEA,11.090909090909092
[I0303D011] FARMACOLOGIA E RADIOFARMACI,11
[I0302D011] FARMACOLOGIA E TOSSICOLOGIA,11
[I0101D005] SCIENZE BIOMEDICHE 2,11
[E4101B023] ECONOMIA INDUSTRIALE,11
[E3501Q023] FISICA II,11
[E3401Q044] CAMPAGNA GEOLOGICA,11
