CdsCod,AdCod,TipoCorso,n°iscritti,n°passati,Tasso_superamento,voto_medio
E2401P,E2401P001,[L2] Corso di Laurea - L2,624,351,0.56,24.82
E3501Q,E3501Q010,[L2] Corso di Laurea - L2,39,22,0.56,26.36
F0901D,F0901D034,[LM] Corso di Laurea Magistrale,48,27,0.56,27.85
F0901D,F0901D039,[LM] Corso di Laurea Magistrale,39,22,0.56,27.18
F5102P,F5102P003,[LM] Corso di Laurea Magistrale,80,45,0.56,26.44
F5102P,F5102P014,[LM] Corso di Laurea Magistrale,32,18,0.56,29.06
F7601M,F7601M050,[LM] Corso di Laurea Magistrale,61,34,0.56,25.18
F8203B,F8203B006,[LM] Corso di Laurea Magistrale,34,19,0.56,27.32
F8501R,F8501R001,[LM] Corso di Laurea Magistrale,261,146,0.56,27.71
I0302D,I0302D008,[L2] Corso di Laurea - L2,43,24,0.56,25.5
E1401A,E1401A007,[L2] Corso di Laurea - L2,121,69,0.57,25.12
E1501N,E1501N065,[L2] Corso di Laurea - L2,179,102,0.57,24.81
E1801M,E1801M033,[L2] Corso di Laurea - L2,276,157,0.57,24.57
E1801M,E1801M052,[L2] Corso di Laurea - L2,239,136,0.57,25.53
E1803M,E1803M050,[L2] Corso di Laurea - L2,264,150,0.57,23.64
E1901R,E1901R004,[L2] Corso di Laurea - L2,463,265,0.57,26.97
E2701Q,E2701Q044,[L2] Corso di Laurea - L2,44,25,0.57,26.48
E3001Q,E3001Q036,[L2] Corso di Laurea - L2,247,141,0.57,26.32
E3002Q,E3002Q002,[L2] Corso di Laurea - L2,70,40,0.57,24.33
E3301M,E3301M097,[L2] Corso di Laurea - L2,397,226,0.57,24.66
E4001N,E4001N009,[L2] Corso di Laurea - L2,309,177,0.57,22.58
E4001N,E4001N053,[L2] Corso di Laurea - L2,214,121,0.57,24.92
F0601Q,F0601Q067,[LM] Corso di Laurea Magistrale,60,34,0.57,29.09
F1801Q,F1801Q132,[LM] Corso di Laurea Magistrale,137,78,0.57,27.01
F5104P,F5104P005,[LM] Corso di Laurea Magistrale,214,123,0.57,26.86
G8501R,G8501R036,[LM5] Laurea Magistrale Ciclo Unico 5 anni,336,191,0.57,25.18
H4101D,H4101D013,[LM6] Laurea Magistrale Ciclo Unico 6 anni,207,118,0.57,28.58
I0101D,I0101D016,[L2] Corso di Laurea - L2,351,199,0.57,25.41
581,A5810229,[LM5] Laurea Magistrale Ciclo Unico 5 anni,387,225,0.58,25.97
E0201Q,E0201Q053,[L2] Corso di Laurea - L2,142,83,0.58,23.72
E1301Q,E1301Q010,[L2] Corso di Laurea - L2,198,115,0.58,26.24
E1401A,E1401A019,[L2] Corso di Laurea - L2,33,19,0.58,25.47
E1801M,E1801M028,[L2] Corso di Laurea - L2,419,242,0.58,24.49
E1801M,E1801M030,[L2] Corso di Laurea - L2,254,148,0.58,25.16
E2401P,E2401P118,[L2] Corso di Laurea - L2,96,56,0.58,27.79
E3101Q,E3101Q110,[L2] Corso di Laurea - L2,364,211,0.58,24.09
E3301M,E3301M111,[L2] Corso di Laurea - L2,227,132,0.58,26.79
E3301M,E3301M148,[L2] Corso di Laurea - L2,125,73,0.58,25.19
E4101B,E4101B040,[L2] Corso di Laurea - L2,103,60,0.58,27.52
F0101R,F0101R002,[LM] Corso di Laurea Magistrale,65,38,0.58,27.71
