ad,media
[E3501Q012] SISTEMI DINAMICI E MECCANICA CLASSICA,1.5555555555555556
[E3002Q029] INTERAZIONE LUCE MATERIA,1.5555555555555556
[E3001Q040] ANALISI MATEMATICA II,1.5555555555555556
[E1401A019] DIRITTO DELLA SICUREZZA SOCIALE: PREVIDENZA E ASSISTENZA,1.5555555555555556
[E1301Q060] SISTEMATICA VEGETALE,1.5555555555555556
[E3301M097] ECONOMIA AZIENDALE,1.5535714285714286
[E1803M038] ISTITUZIONI DI DIRITTO PRIVATO,1.5512820512820513
[A5810062] DIRITTO PENALE MINORILE,1.55
[F0601Q077] BIOSTATISTICA,1.5483870967741935
[A5810032] SOCIOLOGIA DEL DIRITTO,1.5483870967741935
[F5701R002] METODOLOGIA DELLA FORMAZIONE,1.5476190476190477
"[F9201P008] DIRITTO DELL'INFORMAZIONE, DELLA COMUNICAZIONE E DELL'INFORMATICA",1.5454545454545454
[E2702Q075] MATEMATICA II,1.5454545454545454
[E2004P028] INFORMATICA E GRAFICA PER IL WEB,1.5454545454545454
[I0101D001] SCIENZE BIOMEDICHE 1,1.5432692307692308
[A5810003] SCIENZA DELLE FINANZE,1.5396825396825398
[F7701M002] ABILITÀ INFORMATICHE MAGISTRALE,1.5384615384615385
[E4001N056] NUOVI SOGGETTI URBANI,1.5384615384615385
[E1801M030] DIRITTO COMMERCIALE,1.536231884057971
[E3001Q003] MECCANICA CLASSICA,1.5333333333333334
[E2401P120] TEORIE E STRUMENTI PER LA GESTIONE E LO SVILUPPO DEL PERSONALE,1.5333333333333334
[E1802M031] ECONOMIA AZIENDALE,1.5333333333333334
[H4101D040] FARMACOLOGIA,1.5326086956521738
[E1801M052] LINGUA - SPAGNOLO,1.5324675324675325
[I0101D007] SCIENZE UMANE,1.53
[G8501R023] DIDATTICA DELLA MATEMATICA CON LABORATORIO,1.5294117647058822
[F7601M075] PRINCIPI DI INFERENZA PER LE APPLICAZIONI TURISTICHE,1.5294117647058822
[F1601M058] DIRITTO DEI MERCATI FINANZIARI,1.5294117647058822
[E1401A009] DIRITTO DEL LAVORO,1.5263157894736843
[F5104P004] PSICODIAGNOSTICA CLINICA,1.525
[E3301M182] LINGUA-SPAGNOLO,1.5238095238095237
[E2401P019] PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI,1.5238095238095237
[E1401A084] TEORIA GENERALE E METODI DEL DIRITTO,1.5227272727272727
[E3201Q040] MATEMATICA II,1.5185185185185186
[E3401Q044] CAMPAGNA GEOLOGICA,1.5172413793103448
[E1301Q067] IMMUNOLOGIA E PATOLOGIA,1.5172413793103448
[E3101Q108] LINGUAGGI DI PROGRAMMAZIONE,1.5161290322580645
[E1802M116] MANAGEMENT,1.515625
[A5810046] CRIMINOLOGIA,1.5135135135135136
[E1901R093] PEDAGOGIA GENERALE I CON LABORATORIO,1.511111111111111
[E1401A077] SCIENZA DELLE FINANZE,1.507936507936508
[E1803M041] STATISTICA I,1.5076923076923077
[I0302D015] BIOLOGIA MOLECOLARE CLINICA,1.5
[I0302D005] ANALISI BIOCHIMICO-CLINICHE,1.5
[H4601D034] INGLESE BIOMEDICO,1.5
[F8801N003] DIRITTI E CITTADINANZA EUROPEA,1.5
[F8501R010] PEDAGOGIA DELLA DEVIANZA E DELLA MARGINALITÀ,1.5
[F8204B015] STATISTICAL LEARNING M,1.5
[F8203B015] STATISTICA AMBIENTALE,1.5
[F7702M059] PRICE MANAGEMENT,1.5
[F7702M058] GLOBAL CORPORATE FINANCE,1.5
[F7701M082] ELEMENTI DI PROGRAMMAZIONE,1.5
[F7501Q087] MICROBIOLOGIA AMBIENTALE,1.5
[F7401Q082] BIOFACIES,1.5
[F7401Q001] GEOLOGIA DEI BACINI SEDIMENTARI,1.5
[F5602M016] LABOUR MARKETS,1.5
[F5602M012] PRINCIPLES OF CORPORATE FINANCE,1.5
[F5103P009] PSICODINAMICA E ASSESSMENT DELLA GENITORIALITA',1.5
[F5102P014] PROCESSI MOTIVAZIONALI E DECISION MAKING,1.5
[F4001Q099] GEOMETRIA SIMPLETTICA,1.5
[F4001Q063] METODI DELLA FISICA MATEMATICA,1.5
[F1801Q103] SISTEMI INFORMATIVI,1.5
[F1701Q138] RADIAZIONI ELETTROMAGNETICHE NON IONIZZANTI,1.5
[F1601M044] ULTERIORI CONOSCENZE LINGUISTICHE PER LA FINANZA - SPAGNOLO,1.5
[F0802Q048] MICROBIOLOGIA AMBIENTALE,1.5
[F0601Q075] GENETICA UMANA,1.5
[F0601Q055] SIMBIOSI,1.5
[F0101R067] CULTURE E SOCIETA' DELLA CINA,1.5
[E4102B076] DATA SCIENCE E MODELLI STATISTICI PER IL TRATTAMENTO DEI DATI NON STRUTTURATI,1.5
[E4102B069] BASI DI DATI,1.5
[E4102B063] STATISTICA I - COMPLEMENTI,1.5
[E4001N059] SOCIOLOGIA DELLO SVILUPPO,1.5
"[E3901N037] INCLUSIONE SOCIALE, RETI E WELFARE",1.5
[E3901N013] DIRITTO DELLA SICUREZZA SOCIALE,1.5
[E3501Q056] ANALISI III,1.5
[E3301M149] DIRITTO PUBBLICO DELL'ECONOMIA I,1.5
"[E3301M148] ECONOMIA,GESTIONE DELLE IMPRESE INDUSTRIALI E MARKETING",1.5
